BGD,RUS,-2.0575803
BGD,VEN,6.188460467
BGD,EUR,-0.367669075
BGD,NPL,-1.290590307
BGD,YEM,-3.886723598
BGD,JPN,-3.406997649
BGD,TUR,-2.725740465
BGD,PHL,-1.019851237
BGD,THA,-2.423877318
BGD,ITA,-5.174473595
BGD,SYR,-5.099434262
BGD,ARE,-3.939587223
BGD,IND,-2.440816849
BGD,KAZ,-2.493805345
BGD,BTN,0.30569256
BGD,MEX,-3.100759774
BGD,BRA,-0.441551304
BRB,USA,0.086989759
BRB,PAN,2.975622251
BRB,CHN,3.763834825
BRB,JAM,-1.322519035
BRB,GBR,0.070106848
BRB,CAN,1.943177553
BRB,TTO,-4.444760013
BRB,GUY,-1.140008077
BRB,BRA,0.824085941
NAM,AGO,-2.386121328
NAM,USA,-3.816570431
NAM,ZAF,-3.227213175
NAM,MLI,1.669101206
NAM,DEU,-4.629551799
NAM,CHN,-2.019404614
NAM,ZWE,-3.069126909
NAM,BWA,-2.273481125
NAM,GBR,2.633609572
NAM,NLD,2.374674443
BGR,DZA,0.64896226
BGR,EGY,0.097371707
BGR,MKD,-1.76138902
BGR,BEL,-0.870378888
BGR,ISR,-1.737256243
BGR,SWE,0.427968831
BGR,AZE,2.380735565
BGR,GBR,-1.608471707
BGR,CAN,-1.016126412
BGR,UKR,-2.66688496
BGR,CYP,-1.720404071
BGR,USA,-0.531658891
BGR,HUN,-5.17196554
BGR,PRK,-0.877152325
BGR,POL,-0.405571064
BGR,NLD,-0.023164323
BGR,SAU,-2.58068637
BGR,SRB,-3.862715747
BGR,FRA,-6.577489624
BGR,AFG,-8.030836843
BGR,CHE,-1.042180341
BGR,AUT,-1.677415657
BGR,ESP,-0.713822714
BGR,IRQ,-2.900431834
BGR,HRV,0.205667194
BGR,DNK,-1.158201141
BGR,DEU,-1.190224934
BGR,AUS,-2.271024112
BGR,IRL,-0.252909325
BGR,CHN,1.661304897
BGR,IRN,0.645862725
BGR,FIN,-2.980435583
BGR,EUR,-1.688231628
BGR,JPN,0.982664652
BGR,TUR,-3.015171762
BGR,ITA,-2.949573055
BGR,SYR,-5.525816735
BGR,RUS,-0.66330566
BGR,CZE,1.576542347
BGR,MEX,1.181439028
BGR,GRC,-0.005776441
BOL,AGO,0.856372937
BOL,USA,-1.433236109
BOL,SWE,-0.942780806
BOL,DEU,-1.441565699
BOL,PER,-0.09342836
BOL,GBR,-0.953943654
BOL,CAN,-1.871895505
BOL,COL,-1.855794721
BOL,ECU,-0.010795372
BOL,PRY,-1.268011964
BOL,SAU,1.190373058
BOL,FRA,-2.234194249
BOL,ESP,-1.231183747
BOL,CHL,-1.877878954
BOL,CHN,-0.079953555
BOL,CUB,0.698237864
BOL,IRN,1.267592602
BOL,VEN,-0.079608667
BOL,URY,-0.532229711
BOL,JPN,1.03041293
BOL,NIC,0.161963058
BOL,PHL,-4.002128074
BOL,ITA,-1.510966557
BOL,ARG,-0.393228855
BOL,RUS,0.730837232
BOL,MEX,0.373904396
BOL,BRA,-1.443066428
GHA,BEN,-0.428524776
GHA,NGA,0.297368608
GHA,USA,-0.316414132
GHA,FRA,-0.38972687
GHA,IDN,-3.398927208
GHA,GBR,-0.95712113
GHA,CIV,-3.014718431
GHA,KOR,4.052646323
GHA,LBR,2.00058196
GHA,UGA,2.216936893
GHA,NLD,0.778184201
GHA,SEN,1.147061138
GHA,NZL,0.746256732
GHA,TGO,-4.343019287
GHA,SAU,0.802143274
GHA,BFA,0.140592374
GHA,CHE,0.102839113
GHA,RWA,0.01939835
GHA,ZMB,1.412437546
GHA,CHN,1.476162781
GHA,ZWE,0.760947393
GHA,AUS,-0.43430416
GHA,IRL,0.297090758
GHA,GIN,0.527967381
GHA,EUR,2.253866294
GHA,KEN,1.560806761
GHA,JPN,-0.181969942
GHA,ZAF,0.423860458
GHA,TUR,2.347942275
