id,label,lat,lng,indegree,outdegree,closnesscentrality,betweenesscentrality
MAR," Morocco",31.791702,-7.09262,47,50,0.5689149560117303,0.0014345892963665082
ROM," Romania",45.943161,24.96676,0,0,0.0,0.0
MNP," Northern Mariana Islands",15.0979,145.6739,0,0,0.0,0.0
LSO," Lesotho",-29.609988,28.233608,6,3,0.4470046082949309,3.9583363464202126E-5
HUN," Hungary",47.162494,19.503304,35,33,0.5373961218836565,1.9760427187283532E-4
TKM," Turkmenistan",38.969719,59.556278,19,18,0.5118733509234829,3.455977602686943E-5
SUR," Suriname",3.919305,-56.027783,1,2,0.3911290322580645,2.656387354663217E-6
NLD," Netherlands",52.132633,5.291266,76,80,0.6298701298701299,0.012214770618476053
BMU," Bermuda",32.3078,-64.7505,4,4,0.4837905236907731,0.0
TCD," Chad",15.454166,18.732207,19,23,0.5187165775401069,4.881136986051788E-4
GEO," Georgia",32.165622,-82.900075,1,1,0.37816764132553604,0.0
MNG," Mongolia",46.862496,103.846656,11,11,0.5012919896640827,5.447128053602272E-6
MHL," Marshall Islands",11.324691,166.841742,1,1,0.47901234567901235,0.0
MTQ," Martinique",14.641528,-61.024174,0,0,0.0,0.0
BLZ," Belize",17.189877,-88.49765,10,12,0.49743589743589745,1.0617705372842404E-4
NFK," Norfolk Island",-29.040835,167.954712,0,0,0.0,0.0
MMR," Myanmar",21.916221,95.955974,26,25,0.5286103542234333,9.804297654263401E-5
AFG," Afghanistan",33.93911,67.709953,67,61,0.5861027190332326,0.0016424694589912319
BDI," Burundi",-3.373056,29.918886,13,12,0.5065274151436031,4.3363173421859086E-5
VGB," British Virgin Islands",18.420695,-64.639968,0,0,0.0,0.0
BLR," Belarus",53.709807,27.953389,35,36,0.5403899721448467,5.066704212711412E-4
GRD," Grenada",12.1165,-61.679,8,8,0.4898989898989899,1.3402384038072184E-4
TKL," Tokelau",-9.2002,-171.8484,0,0,0.0,0.0
GRC," Greece",39.074208,21.824312,60,63,0.5950920245398773,0.001599833781591614
GRL," Greenland",71.706936,-42.604303,0,0,0.0,0.0
SHN," Saint Helena",-15.96501,-5.708924,1,0,0.0,0.0
AND," Andorra",42.506285,1.521801,1,1,0.40165631469979296,0.0
MOZ," Mozambique",-18.665695,35.529562,12,13,0.5078534031413613,3.36596485871266E-4
TJK," Tajikistan",38.861034,71.276093,23,23,0.5201072386058981,9.463374450073805E-5
THA," Thailand",15.870032,100.992541,55,52,0.5756676557863502,0.0010694971020472242
HTI," Haiti",18.971187,-72.285215,20,18,0.5065274151436031,3.475155958940952E-4
MEX," Mexico",23.634501,-102.552784,85,78,0.6258064516129033,0.006502161922835773
ANT," Netherlands Antilles",12.20189,-68.262382,0,0,0.0,0.0
ZWE," Zimbabwe",-19.015438,29.154857,37,38,0.5480225988700564,0.0034480022708708318
LCA," Saint Lucia",13.909444,-60.978893,3,4,0.4837905236907731,1.8659501418122109E-6
IND," India",20.593684,78.96288,57,62,0.5932721712538226,0.0012530332702529693
LVA," Latvia",56.879635,24.603189,16,20,0.5173333333333333,2.8074732987031757E-5
BTN," Bhutan",27.514162,90.433601,11,12,0.5038961038961038,9.44936289763876E-7
VCT," Saint Vincent and the Grenadines",13.252818,-61.197163,8,6,0.48866498740554154,1.2446927772509777E-4
VNM," Viet Nam",14.058324,108.277199,51,52,0.5739644970414202,0.0011223588780413672
NOR," Norway",60.472024,8.468946,50,49,0.5689149560117303,6.714723703351351E-4
CZE," Czech Republic",49.817492,15.472962,41,45,0.563953488372093,0.0012778579526558128
TMP," East Timor (Timor-Leste)",-8.874217,125.727539,4,5,0.43015521064301554,4.744844646322478E-6
ATG," Antigua and Barbuda",17.060816,-61.796428,5,5,0.4837905236907731,4.016703200006286E-5
FJI," Fiji",-17.713371,178.065032,18,17,0.5132275132275133,9.138513554316448E-4
HND," Honduras",15.199999,-86.241905,15,24,0.5159574468085106,2.1489362330937687E-4
MUS," Mauritius",-20.348404,57.552152,23,21,0.5187165775401069,3.5432272782029835E-4
DOM," Dominican Republic",18.735693,-70.162651,22,21,0.522911051212938,4.504106468140522E-4
LUX," Luxembourg",49.815273,6.129583,14,14,0.5,3.5021347121665923E-6
ISR," Israel",31.046051,34.851612,86,85,0.6381578947368421,0.006235250776315277
FSM," Micronesia",6.887458,158.215072,3,1,0.47901234567901235,0.0
PER," Peru",-9.189967,-75.015152,45,44,0.5574712643678161,9.440503757501795E-4
REU," Runion",38.4979,-80.855917,0,0,0.0,0.0
IDN," Indonesia",-0.789275,113.921327,64,62,0.5950920245398773,0.004825237456297861
VUT," Vanuatu",-15.376706,166.959158,6,6,0.46411483253588515,1.1372743577839373E-4
MKD," Macedonia",41.608635,21.745275,23,23,0.521505376344086,5.2812645575031836E-5
COD," Congo Democratic R. of the (Kinshasa)",-4.038333,21.758664,25,22,0.5145888594164456,8.075772906420907E-4
COG," Congo People R. of the (Brazzaville)",-0.228021,15.827659,19,22,0.5201072386058981,5.926521499527995E-4
ISL," Iceland",64.963051,-19.020835,16,17,0.5132275132275133,1.485684098789919E-5
GLP," Guadeloupe",16.265,-61.551,0,0,0.0,0.0
ETH," Ethiopia",9.145,40.489673,38,30,0.5300546448087432,0.0016649567447425079
COM," Comoros",-11.6455,43.3333,4,3,0.43891402714932126,3.9645010234198726E-5
COL," Columbia",34.00071,-81.034814,51,46,0.563953488372093,0.0012977235920605323
NGA," Nigeria",9.081999,8.675277,80,82,0.6319218241042345,0.007961403693728025
PRT," Portugal",39.399872,-8.224454,40,39,0.5542857142857143,0.006292068708696443
MDA," Moldova",47.411631,28.369885,13,14,0.5065274151436031,3.8399784397321345E-6
STP," Sao Tome and Principe",0.18636,6.613081,1,0,0.0,0.0
MDG," Madagascar",-18.766947,46.869107,8,6,0.49743589743589745,2.3639956867407258E-5
ECU," Ecuador",-1.831239,-78.183406,33,33,0.5359116022099447,3.595480970250601E-4
SEN," Senegal",14.497401,-14.452362,26,27,0.5286103542234333,0.0011623704852044532
ESH," Western Sahara",24.215527,-12.885834,0,0,0.0,0.0
MDV," Maldives",1.977228,73.536101,55,59,0.5861027190332326,7.495362545498483E-4
ASM," American Samoa",-14.30164,-170.696181,0,0,0.0,0.0
