id,label,lat,lng,weighted indegree,weighted outdegree
MTQ," Martinique",14.641528,-61.024174,0.0,0.0
BLZ," Belize",17.189877,-88.49765,-15.269499719,-18.378856922
NFK," Norfolk Island",-29.040835,167.954712,0.0,0.0
MMR," Myanmar",21.916221,95.955974,-14.882020846,-7.25644589
AFG," Afghanistan",33.93911,67.709953,-178.639292952,-191.30358283900003
BDI," Burundi",-3.373056,29.918886,-27.236521671,-21.781861066
VGB," British Virgin Islands",18.420695,-64.639968,0.0,0.0
BLR," Belarus",53.709807,27.953389,-12.283012175000003,-7.8175078629999994
GRD," Grenada",12.1165,-61.679,-4.577794237999999,-4.379690153
TKL," Tokelau",-9.2002,-171.8484,0.0,0.0
GRC," Greece",39.074208,21.824312,-92.05381196099998,-100.00247122700004
GRL," Greenland",71.706936,-42.604303,0.0,0.0
SHN," Saint Helena",-15.96501,-5.708924,-0.790632804,0.0
AND," Andorra",42.506285,1.521801,-3.812228457,-2.466687665
MOZ," Mozambique",-18.665695,35.529562,-3.388096541,-1.6188596110000006
TJK," Tajikistan",38.861034,71.276093,-34.809628429,-27.945190818999997
THA," Thailand",15.870032,100.992541,-89.63787863500002,-76.798176708
HTI," Haiti",18.971187,-72.285215,-39.95944782599999,-33.198264851
MEX," Mexico",23.634501,-102.552784,-57.97812268399999,-46.52286944299999
ANT," Netherlands Antilles",12.20189,-68.262382,0.0,0.0
ZWE," Zimbabwe",-19.015438,29.154857,-63.593012730999995,-57.35216914200001
LCA," Saint Lucia",13.909444,-60.978893,-2.357974016,-2.673132045
IND," India",20.593684,78.96288,-67.33693793399998,-86.613687629
LVA," Latvia",56.879635,24.603189,-6.252697749999999,0.8856004320000026
BTN," Bhutan",27.514162,90.433601,-6.129066472000002,-1.4097558590000006
VCT," Saint Vincent and the Grenadines",13.252818,-61.197163,-4.288969827000001,-3.940190305
VNM," Viet Nam",14.058324,108.277199,15.892189648999992,15.577652030999992
NOR," Norway",60.472024,8.468946,-49.826406358999996,-64.03741205400001
CZE," Czech Republic",49.817492,15.472962,-31.617470568,-48.028821209
TMP," East Timor (Timor-Leste)",-8.874217,125.727539,-3.5639427030000004,-5.415630522000001
ATG," Antigua and Barbuda",17.060816,-61.796428,1.8967043350000004,-3.835784052
FJI," Fiji",-17.713371,178.065032,6.0956739859999995,19.472460782
HND," Honduras",15.199999,-86.241905,-29.743278550000003,-32.247845425
MUS," Mauritius",-20.348404,57.552152,-18.127203747,-7.501817099000003
DOM," Dominican Republic",18.735693,-70.162651,-8.972412741999998,-9.165949237000001
LUX," Luxembourg",49.815273,6.129583,-27.935620811,-30.933075702
ISR," Israel",31.046051,34.851612,-152.98431626700003,-124.89889601999998
FSM," Micronesia",6.887458,158.215072,-0.508538875,-0.195086949
PER," Peru",-9.189967,-75.015152,-47.628714158,-43.254555325999995
REU," Runion",38.4979,-80.855917,0.0,0.0
IDN," Indonesia",-0.789275,113.921327,-3.8281361649999974,-32.680015262999994
VUT," Vanuatu",-15.376706,166.959158,9.236224043,8.676633884
MKD," Macedonia",41.608635,21.745275,-38.11999080900001,-27.610937430000003
COD," Congo Democratic R. of the (Kinshasa)",-4.038333,21.758664,-43.53221482400001,-36.689007657999994
COG," Congo People R. of the (Brazzaville)",-0.228021,15.827659,-42.010075801,-44.25597983100001
ISL," Iceland",64.963051,-19.020835,5.017867959999999,-2.05204305
GLP," Guadeloupe",16.265,-61.551,0.0,0.0
ETH," Ethiopia",9.145,40.489673,-65.052794886,-35.32372482
COM," Comoros",-11.6455,43.3333,-6.205483547,-2.675464455
COL," Columbia",34.00071,-81.034814,9.623042596,-28.190719172
NGA," Nigeria",9.081999,8.675277,-166.864310013,-129.49502189999998
PRT," Portugal",39.399872,-8.224454,-48.537851176,-42.085572734
MDA," Moldova",47.411631,28.369885,3.07083493,-3.4056344969999994
