YearMonth,NoOfEvents,GoldStein,ToneCount,Actor1CountryCode,Actor2CountryCode
201605,14,1.1142857142857143,-2.3910200523103748,ABW,ATG
201605,13,5.1999999999999993,3.5267339934859097,ABW,CUB
201605,24,2.1874999999999996,3.1860060959882293,ABW,USA
201605,16,-2.4000000000000008,-3.2422204398208661,ABW,VEN
201605,36,2.8555555555555556,-1.0554423072572916,AFG,AFR
201605,30,1.856666666666666,-1.4318404508544806,AFG,ARE
201605,11,1.4727272727272727,-3.5158685114193933,AFG,ARG
201605,116,-0.38189655172413817,-3.8158610372187591,AFG,AUS
201605,35,-1.5428571428571429,-5.5097615063280836,AFG,AUT
201605,80,-4.53,-0.42440248251391149,AFG,AZE
201605,74,0.27027027027027029,-0.59178993837933025,AFG,BEL
201605,25,-2.468,-1.8721391408004602,AFG,BGD
201605,16,2.1562500000000004,-3.7667740703252779,AFG,BGR
201605,113,-0.69999999999999973,-2.7169462497266479,AFG,CAN
201605,56,3.3410714285714285,0.34030097321593977,AFG,CHE
201605,710,3.1836619718309898,0.26255069193844754,AFG,CHN
201605,11,1.2272727272727273,-3.2407274457571464,AFG,COL
201605,128,0.9203125,-2.879912996184637,AFG,DEU
201605,27,0.15185185185185177,-4.1910097685558929,AFG,DNK
201605,40,-0.6475,-2.1030050060633152,AFG,EGY
201605,52,0.45961538461538437,-1.6493042850743653,AFG,ESP
201605,178,0.93932584269663011,-3.6536051246594146,AFG,EUR
201605,24,5.3791666666666664,-5.4293529254658388,AFG,FIN
201605,218,-2.4334862385321117,-4.068466062560681,AFG,FRA
201605,720,0.94291666666666407,-3.4241856056493414,AFG,GBR
201605,128,-1.5304687499999976,-3.9852839137424967,AFG,GRC
201605,53,2.3792452830188666,-0.4844828993951677,AFG,HRV
201605,16,0.91875000000000018,-0.730757381470646,AFG,IDN
201605,136,1.5720588235294117,-0.48435260126456336,AFG,IND
201605,17,-2.388235294117647,-2.4217580798358882,AFG,IRL
201605,2532,3.6109794628751866,0.0754812424514637,AFG,IRN
201605,731,-0.33584131326949312,-2.6784924716541729,AFG,IRQ
201605,25,0.332,-2.4873416917695437,AFG,ISR
201605,155,-2.8729032258064509,-6.1529820003916109,AFG,ITA
201605,84,0.032142857142857216,-1.9227696178346458,AFG,JOR
201605,37,0.81351351351351353,-1.6703006801845566,AFG,JPN
201605,21,3.1857142857142859,-2.7024717771030233,AFG,KAZ
201605,19,0.21052631578947367,-1.5042318676001478,AFG,KEN
201605,67,2.4089552238805974,0.26992909955957661,AFG,KGZ
201605,11,-6.6181818181818191,-5.0939778205569928,AFG,KWT
201605,14,-3.7928571428571436,-3.0302783562954794,AFG,LBN
201605,51,-3.7980392156862739,-4.8698878538496739,AFG,LBY
201605,22,1.7999999999999994,-1.9590706107278073,AFG,LKA
201605,26,-2.0653846153846152,-2.3002788373248397,AFG,LTU
201605,23,-3.3391304347826085,-3.3925689872863183,AFG,MDV
201605,40,2.3475000000000006,-1.704292108888112,AFG,MEX
201605,14,5.0714285714285712,-5.2535152264502845,AFG,MLI
201605,82,1.1621951219512192,-3.3704587535255577,AFG,MMR
201605,16,4.975,-4.9671343007114448,AFG,MYS
201605,245,1.8248979591836738,-4.5565480352404837,AFG,NGA
201605,30,2.3400000000000003,-4.133467291736995,AFG,NLD
201605,29,-3.9965517241379307,-3.8064687726400064,AFG,NPL
201605,52,6.9403846153846152,1.6114637645069261,AFG,OMN
201605,7373,-0.559080428590805,-2.8286558713078129,AFG,PAK
201605,24,1.6041666666666667,-0.51120223949306931,AFG,POL
201605,13,-1.1538461538461537,-2.2555574829581406,AFG,PRK
201605,284,2.4524647887323932,-0.58380279167450222,AFG,QAT
201605,331,1.5634441087613287,-2.1674088578478519,AFG,RUS
201605,26,2.0384615384615383,-2.1715924893892424,AFG,SAS
201605,256,1.5492187499999992,-2.4296425969556621,AFG,SAU
201605,63,-7.6746031746031749,-6.2774231741990008,AFG,SDN
201605,13,2.9692307692307689,-1.4937067488557629,AFG,SEA
201605,21,-4.39047619047619,-5.2700462965404347,AFG,SOM
201605,24,1.1958333333333335,-2.0112408746512354,AFG,SWE
201605,259,-3.5054054054054071,-4.9170525547931261,AFG,SYR
201605,317,2.2646687697160859,-0.65102450696882053,AFG,TJK
201605,68,1.1308823529411762,-1.5755593858292651,AFG,TKM
201605,176,2.4647727272727278,-1.4407912354855108,AFG,TUR
201605,36,0.0055555555555554369,-4.4417128327799951,AFG,UKR
201605,3718,-1.4146584185045743,-3.1837860823580115,AFG,USA
201605,66,-1.5242424242424242,-2.4311180485773281,AFG,UZB
201605,94,1.2670212765957447,-2.4838476367659106,AFG,VNM
201605,321,-2.7018691588785053,-3.6686988692014086,AFG,WST
201605,91,-4.778021978021977,-5.4679509650427454,AFG,YEM
201605,13,-3.5615384615384613,-4.3322616744645117,AFG,ZAF
201605,25,1.7679999999999998,-0.91163823705334079,AFR,AFG
201605,157,-0.43630573248407623,-0.60943780009926207,AFR,AGO
201605,106,2.3424528301886802,0.99159916790390612,AFR,ARE
201605,31,1.8064516129032255,-1.1280966881726482,AFR,ARG
201605,229,1.5537117903930135,-0.575625047136247,AFR,AUS
201605,35,1.7371428571428569,-1.7977595371589443,AFR,AUT
201605,89,1.7898876404494393,-2.8404305568614059,AFR,BDI
201605,27,0.24444444444444449,-2.3515877308370161,AFR,BEL
201605,23,2.4608695652173909,0.17207193130364,AFR,BEN
201605,32,0.8687499999999998,-0.69001888804257683,AFR,BFA
201605,22,0.33636363636363648,0.053157926134173632,AFR,BGD
201605,24,3.0249999999999986,2.682359964540209,AFR,BHR
201605,150,-0.17933333333333334,-1.2379771257101846,AFR,BRA
201605,121,0.82314049586776894,0.30083574676337904,AFR,BWA
201605,50,2.9060000000000006,-2.1495944460962177,AFR,CAF
201605,297,0.89292929292929368,-0.69025452061653936,AFR,CAN
201605,107,1.8373831775700955,-0.27960386594797293,AFR,CHE
201605,608,2.7019736842105275,0.17562287389345022,AFR,CHN
201605,60,3.2333333333333338,-0.33572279377780473,AFR,CIV
201605,101,2.9168316831683176,0.80466949834500257,AFR,CMR
201605,270,-0.289629629629629,-3.3351770814818806,AFR,COD
201605,136,-0.1161764705882352,-2.3395347431884796,AFR,COG
201605,172,5.2813953488372043,2.0851019143780354,AFR,COL
201605,12,3.2499999999999996,0.96156789456384339,AFR,COM
201605,30,-1.2866666666666664,-4.7136168606962752,AFR,CPV
201605,66,2.2424242424242431,0.33497674754629203,AFR,CUB
201605,12,1.8999999999999997,-4.5391961717557772,AFR,CYP
201605,26,-3.1730769230769229,-6.282042231616968,AFR,CZE
201605,135,0.94000000000000028,-1.3113788782823856,AFR,DEU
201605,51,2.7960784313725489,-1.0749856502487585,AFR,DJI
201605,22,2.4272727272727264,-0.05216367893913685,AFR,DNK
201605,109,2.5201834862385328,-0.70801997854091858,AFR,DZA
201605,13,2.023076923076923,-0.15159741507797844,AFR,ECU
201605,452,1.9183628318584025,-0.36750819088580133,AFR,EGY
201605,52,2.3096153846153844,-2.3542060310457931,AFR,ERI
201605,89,1.7471910112359557,-0.39368514499098256,AFR,ESP
201605,428,2.0205607476635472,-0.41842757836839028,AFR,ETH
201605,494,2.8115384615384609,-0.77200465506693317,AFR,EUR
201605,345,1.8605797101449255,-0.9354159134182225,AFR,FRA
201605,20,3.7399999999999998,0.674981082197682,AFR,GAB
201605,680,1.3195588235294085,-0.58203203335036591,AFR,GBR
