YearMonth,NoOfEvents,GoldStein,ToneCount,Actor1CountryCode,Actor2CountryCode
201609,12,7.4000000000000012,-2.0273850532533433,ABW,NLD
201609,8,1.9,-4.50648558261854,ABW,VEN
201609,5,6,-3.0427384797829662,AFG,ARE
201609,2,-9.1,-2.58907077515648,AFG,AUS
201609,1,8,5.47945205479452,AFG,AUT
201609,50,2.4800000000000004,-0.33820493178612615,AFG,BEL
201609,4,3.7,-4.9305713288534054,AFG,BGD
201609,8,2.4875,-3.17114189918265,AFG,BGR
201609,1,-2,-6.52941176470588,AFG,CAF
201609,3,2.1999999999999997,-0.040849673202620083,AFG,CAN
201609,5,-3.8,-1.47874306839187,AFG,CHE
201609,18,3.9666666666666668,-0.24474901496710155,AFG,CHN
201609,7,3.7571428571428567,-4.6797809545556053,AFG,DEU
201609,7,1,-0.41745274498347429,AFG,DNK
201609,2,-2,-6.68016194331984,AFG,ECU
201609,5,2.2,-4.37666811351946,AFG,EGY
201609,2,-9.5,-10.725879025519035,AFG,ESP
201609,26,4.0538461538461537,-0.95971938635554477,AFG,EUR
201609,13,0.69230769230769218,-4.9653217497777025,AFG,FRA
201609,20,0.4799999999999997,-0.850116074946943,AFG,GBR
201609,19,0.73684210526315785,-2.1134350315113632,AFG,GHA
201609,1,-4.4,-0.72727272727273,AFG,GRC
201609,2,-2.7,-6.72268907563025,AFG,IDN
201609,115,1.709565217391305,-0.68145015920724228,AFG,IND
201609,2,8,-1.07816711590296,AFG,IRL
201609,44,0.52954545454545454,-3.6742550765983144,AFG,IRN
201609,1,1.9,-9.43396226415094,AFG,ISR
201609,8,1.475,0.26172170302279618,AFG,ITA
201609,3,3,-0.1060353910331114,AFG,JOR
201609,2,5.2,1.40269263929813,AFG,JPN
201609,7,5.1428571428571432,-2.4196144823422285,AFG,KAZ
201609,2,4.2,-1.34228187919463,AFG,KEN
201609,2,2.8,0.699300699300701,AFG,LAO
201609,2,-4,-4.5850133173487446,AFG,LKA
201609,2,-2,-2.7002700270027,AFG,MEX
201609,1,1,-4.97271073377805,AFG,NIC
201609,9,2.0999999999999996,-0.33746591983237889,AFG,NLD
201609,9,5.6,-3.3798139821408819,AFG,NOR
201609,23,2.465217391304348,-4.1112764276099156,AFG,NPL
201609,348,0.58132183908046,-2.66635806003086,AFG,PAK
201609,1,7,1.89328743545611,AFG,POL
201609,3,3,-6.3664068442344144,AFG,QAT
201609,10,0.64,-3.958521355980726,AFG,RUS
201609,30,-1.4,-3.5849397937133509,AFG,SAS
201609,83,1.8819277108433741,-2.270868398332146,AFG,SAU
201609,8,0.925,-3.7628353883991776,AFG,SYR
201609,1,8,-3.85078219013237,AFG,TCD
201609,3,3.1,2.9900632339656732,AFG,THA
201609,29,1.6517241379310343,-3.463224313325624,AFG,TJK
201609,5,3.6399999999999997,-2.0544531179762062,AFG,TKM
201609,1,0,-12.0300751879699,AFG,TUN
201609,4,2.275,-3.5176161919040503,AFG,TUR
201609,6,6,-4.6258038920630851,AFG,UKR
201609,330,0.5542424242424242,-2.9077659137143219,AFG,USA
201609,59,1.2762711864406779,-3.0410884650329688,AFG,UZB
201609,1,3.4,0.66666666666667,AFG,WST
201609,3,0.93333333333333324,-6.0693788252006895,AFG,YEM
