YearMonth,NoOfEvents,GoldStein,ToneCount,Actor1CountryCode,Actor2CountryCode
201607,9,5.7777777777777777,0.25753444766092443,ABW,VEN
201607,1,1.9,-2.14362272240086,AFG,AFR
201607,3,3.3000000000000003,2.5863025863025864,AFG,ARM
201607,3,5,-0.2707320510110634,AFG,AUS
201607,27,1.6370370370370371,1.0636904739653725,AFG,AZE
201607,11,2.7181818181818183,0.08482122003863618,AFG,BEL
201607,3,1,2.88065843621399,AFG,BGD
201607,2,3.4,9.4034564226888442,AFG,BHR
201607,8,-6.25,-3.1625503984677628,AFG,CAN
201607,1,1,-0.769230769230771,AFG,CAS
201607,2,1.45,-5.24344569288389,AFG,CHE
201607,48,1.5645833333333334,-2.4685447707891579,AFG,CHN
201607,1,1,3.81679389312977,AFG,CZE
201607,15,-1.1866666666666668,-5.5266275986158444,AFG,DEU
201607,6,2.3333333333333335,1.1002323185896332,AFG,DNK
201607,2,1.9,-1.4580801944107,AFG,ECU
201607,5,3.0800000000000005,-7.0448999479424916,AFG,EGY
201607,4,-1.375,-4.9381353244903847,AFG,ESP
201607,3,-10,-2.6838174013042266,AFG,EST
201607,6,3.8000000000000003,-1.6547591671679234,AFG,EUR
201607,21,-1.8476190476190475,-7.3666792725946539,AFG,FRA
201607,38,6.9052631578947361,-1.2509264711810302,AFG,GBR
201607,12,1.2333333333333332,-4.7030930421803374,AFG,GHA
201607,1,8,1.72413793103449,AFG,HRV
201607,36,0.39444444444444454,-4.2317202924426311,AFG,IND
201607,2,0,-6.4831973972883805,AFG,IRL
201607,41,3.1048780487804883,-0.1926032667111135,AFG,IRN
201607,11,-1.0999999999999999,-5.2684325985607394,AFG,IRQ
201607,2,-0.5,-2.55317922142184,AFG,ISR
201607,1,-9,-2.17129071170084,AFG,ITA
201607,2,-1,-5.6423444976076551,AFG,JPN
201607,1,-9,-1.72413793103448,AFG,KEN
201607,6,2.3499999999999996,2.13414634146341,AFG,LBN
201607,1,-2,-4.44444444444444,AFG,MAR
201607,2,1,-10.6675932021554,AFG,MDV
201607,4,-5,-4.6233694536909447,AFG,MKD
201607,2,8,-5.19480519480519,AFG,MLI
201607,2,2.8,0.675675675675676,AFG,MOZ
201607,2,5,0.19618261331589504,AFG,NLD
201607,6,2.9666666666666668,0.35165330500016162,AFG,NOR
201607,4,-10,-3.61372691053966,AFG,NPL
201607,333,0.45135135135135157,-3.5583587826553611,AFG,PAK
201607,50,2.6460000000000004,-0.046919475804093433,AFG,POL
201607,3,-2.6666666666666665,-5.5707199963428371,AFG,PRK
201607,2,-2,-7.20221606648202,AFG,PSE
201607,28,3.1464285714285718,-2.8040264887689923,AFG,RUS
201607,131,1.3282442748091603,-2.1662791004908524,AFG,SAU
201607,1,2.5,-4.28724544480171,AFG,SEA
201607,12,4.225,-6.16694668008807,AFG,SYR
201607,1,1.9,-10.5263157894737,AFG,THA
201607,3,4.6000000000000005,-4.53352561083534,AFG,TJK
201607,9,-2.8888888888888884,-0.96183872215218136,AFG,TKM
201607,1,0.4,-7.80487804878048,AFG,TUN
201607,30,-0.42999999999999994,-3.7335796724550145,AFG,TUR
201607,1,3.4,-2.14362272240086,AFG,UGA
201607,8,2.5124999999999997,1.4614004057639327,AFG,UKR
201607,634,1.3104100946372239,-2.1838883013878858,AFG,USA
201607,9,4.6333333333333329,0.94407068529686811,AFG,UZB
201607,36,2.5111111111111111,-1.2097771189070792,AFG,WST
201607,8,7,-0.89275292943378,AFG,ZAF
201607,1,2.8,-2.14362272240086,AFR,AFG
201607,8,1.6375,0.25544238551350873,AFR,AGO
201607,2,2.9,2.1081011942428649,AFR,ARE
201607,14,-0.90714285714285725,-3.4176048455829644,AFR,BDI
201607,16,1.4625,1.8657056589924643,AFR,BEL
201607,4,4.9,-0.88536871578673237,AFR,BFA
201607,3,-2.4,0.070240771437440008,AFR,BGD
201607,3,1.5999999999999999,-0.74604952096553345,AFR,BRA
201607,10,0.86,-1.112170235531305,AFR,BWA
201607,4,8.5,-1.1956691073375925,AFR,CAF
201607,14,7.1571428571428575,-0.71501882313636067,AFR,CAN
201607,47,2.6021276595744682,1.3650353303060621,AFR,CHN
201607,5,1.3599999999999999,-2.065835559446362,AFR,CIV
201607,1,4.5,1.43540669856459,AFR,CMR
201607,5,-2.04,-1.168793259379828,AFR,COD
201607,7,0.59999999999999987,-4.849833098648503,AFR,COG
201607,1,4,-0.23255813953488,AFR,COL
201607,2,3.4,-0.78740157480315,AFR,COM
201607,1,7,4.89510489510489,AFR,CUB
201607,5,0.72,-1.5569906021142319,AFR,DEU
201607,3,2.6333333333333333,3.365619745157943,AFR,DNK
201607,7,2.3428571428571425,-1.9308502182027714,AFR,DZA
201607,31,2.2225806451612904,-0.22616725116616182,AFR,EGY
201607,1,1.9,2.63157894736842,AFR,EST
201607,29,3.896551724137931,0.65263547802648969,AFR,ETH
201607,7,0.75714285714285723,-1.3723987066509178,AFR,EUR
201607,2,7.4,5.2054794520548,AFR,FIN
201607,41,2.3780487804878043,-0.88472149443519754,AFR,FRA
201607,2,-4.25,-1.9145802650957249,AFR,GAB
201607,39,1.0743589743589743,-1.764632155532708,AFR,GBR
201607,12,3.65,2.6267099707766324,AFR,GHA
201607,2,3.0999999999999996,3.6456947769796946,AFR,GIN
201607,2,-1,0.24434914678817,AFR,GMB
201607,3,1.8999999999999997,-2.58620689655173,AFR,GRC
201607,24,2.1666666666666665,-0.52804439730480024,AFR,IND
201607,46,2.9499999999999997,0.92452243242641086,AFR,IRN
201607,25,-6.94,-7.6045454616343928,AFR,IRQ
201607,223,2.746636771300448,-0.439558114416059,AFR,ISR
201607,1,10,-2.47729149463254,AFR,ITA
201607,4,0.70000000000000007,1.2666620826321551,AFR,JOR
201607,7,0.057142857142857065,-0.64551514498002149,AFR,JPN
201607,42,2.5880952380952382,-0.11760355877671612,AFR,KEN
201607,3,2.8666666666666667,-3.43053764507766,AFR,KOR
201607,1,2.8,-0.12953367875648,AFR,LBN
201607,6,3.6333333333333333,2.7616408122642864,AFR,LBR
201607,5,1.78,-2.6335558046543319,AFR,LBY
201607,3,-1.6666666666666667,-3.9920699288095869,AFR,LKA
201607,5,-2.82,-3.7569592562209424,AFR,LSO
201607,83,2.3084337349397588,-0.067861511219804924,AFR,MAR
201607,1,2.8,2.24948875255624,AFR,MDG
201607,2,1,5.86319218241042,AFR,MDV
201607,1,0,4.67625899280576,AFR,MEX
201607,5,0.1999999999999999,-6.202073772451925,AFR,MLI
201607,61,3.7836065573770492,0.98096641815890806,AFR,MOZ
201607,10,1.9,-4.6644037696130436,AFR,MRT
201607,1,3.4,4.14507772020725,AFR,MUS
201607,11,-0.94545454545454544,-2.2898019701641079,AFR,MWI
201607,1,1.9,1.40597539543058,AFR,MYS
201607,1,3.5,1.90274841437632,AFR,NAM
201607,2,4.9,2.6171023965141651,AFR,NER
201607,36,2.6972222222222224,1.4239083113557964,AFR,NGA
201607,2,7.4,-3.75494071146245,AFR,NLD
201607,6,-3.3666666666666667,-7.9087986069502252,AFR,NOR
201607,1,1,1.59362549800797,AFR,NZL
201607,10,2.7,-5.8651947717681372,AFR,PAK
201607,1,1,3.36538461538461,AFR,PHL
201607,6,2.2,-5.7577757212215355,AFR,PRK
201607,1,2.8,0.42283298097252,AFR,PRT
201607,8,2.3,2.52989390411,AFR,PSE
201607,9,4.7555555555555555,0.21064950179793535,AFR,RUS
201607,85,2.8423529411764705,0.32200989441652633,AFR,RWA
201607,21,0.73333333333333328,-3.8089899608706022,AFR,SAU
201607,66,1.7924242424242427,-2.4501089854266183,AFR,SDN
201607,3,0.79999999999999993,-0.98129940235204,AFR,SEN
201607,1,3,-2.54545454545455,AFR,SGP
201607,21,4.3952380952380947,-1.9440850705146471,AFR,SOM
201607,26,0.72307692307692306,-3.3912757261698072,AFR,SSD
201607,2,-2,-2.53164556962025,AFR,STP
201607,3,-2,-2.1758101151499902,AFR,SWZ
201607,9,-0.55555555555555558,4.1267547939503952,AFR,SYC
201607,30,-5.7,-5.8376493368557476,AFR,SYR
201607,24,2.2666666666666666,-1.8635393989485862,AFR,TCD
201607,25,0.74399999999999977,1.0207728895895753,AFR,TGO
201607,1,2.8,-1.02040816326531,AFR,THA
201607,2,4,0.019244637132155018,AFR,TTO
201607,1,-2,-1.69902912621359,AFR,TUN
201607,8,1.075,-2.0657931701297336,AFR,TUR
201607,47,3.5382978723404257,0.22105609217965849,AFR,TZA
201607,49,3.777551020408163,-1.1072272929458538,AFR,UGA
