YearMonth,NoOfEvents,GoldStein,ToneCount,Actor1CountryCode,Actor2CountryCode
201611,18,3.0166666666666666,0.370518211469349,ABW,USA
201611,31,0.66451612903225787,-2.648177380842939,AFG,AFR
201611,40,0.15499999999999997,-1.7193611020962081,AFG,ARE
201611,16,0.8875,0.950875650194442,AFG,ARM
201611,199,-2.40251256281407,-3.9554967863581814,AFG,AUS
201611,18,-1.0055555555555555,-0.94496439476279415,AFG,AZE
201611,18,0.83888888888888891,-1.6257334673758983,AFG,BEL
201611,54,0.69074074074074066,-2.9060711995400004,AFG,BGD
201611,68,0.46029411764705896,-7.0094268049044786,AFG,BGR
201611,22,0.068181818181818177,-1.6889004839256225,AFG,BTN
201611,201,-1.4855721393034813,-2.6901591001771776,AFG,CAN
201611,178,0.27022471910112361,-1.4968661760499449,AFG,CHN
201611,1023,-6.2538611925708691,-7.02789730975963,AFG,DEU
201611,17,-1.0176470588235293,-2.4676453138795522,AFG,DNK
201611,38,0.19999999999999943,-3.3948685944985941,AFG,EGY
201611,47,-7.9404255319148938,-4.4588175706868558,AFG,ERI
201611,34,-4.4382352941176473,-5.6791154842182925,AFG,ESP
201611,186,2.5887096774193545,-3.1685049207413454,AFG,EUR
201611,164,-0.34939024390243917,-4.1626861602458671,AFG,FRA
201611,358,-0.045810055865921608,-1.328076517101717,AFG,GBR
201611,33,-0.70000000000000007,-6.8875431058407415,AFG,GHA
201611,41,0.78780487804878008,-3.9001191994911748,AFG,GRC
201611,16,-0.81250000000000011,-2.3656675949113692,AFG,IDN
201611,164,1.8079268292682926,-2.9716852400197014,AFG,IND
201611,12,-1.125,-3.4472064941607781,AFG,IRL
201611,637,1.4767660910518048,-3.2822189610741961,AFG,IRN
201611,431,-0.035498839907192582,-2.2087151300674503,AFG,IRQ
201611,20,2.105,-1.6008799637860942,AFG,ISR
201611,45,3.2155555555555555,-4.03593140242186,AFG,ITA
201611,25,-1.7960000000000005,-3.2921016311333848,AFG,JOR
201611,29,1.1827586206896554,-0.94653393910197514,AFG,JPN
201611,37,1.145945945945946,-3.0898364880356892,AFG,KAZ
201611,24,1.4749999999999996,-0.35859434737031132,AFG,KGZ
201611,14,-1.1071428571428572,-2.3391007356208346,AFG,KOR
