YearMonth,NoOfEvents,GoldStein,ToneCount,Actor1CountryCode,Actor2CountryCode
201606,1,3.5,6.25,ABW,CHL
201606,3,-4.666666666666667,-1.2036434612882234,ABW,NLD
201606,29,3.1551724137931028,2.3472944926212063,ABW,VEN
201606,1,4,4.05727923627685,AFG,ALB
201606,8,1.675,0.62949678729213376,AFG,ARE
201606,1,8,-1.9455252918288,AFG,ASA
201606,2,6.25,-3.3665481235726551,AFG,AUS
201606,4,-1.05,-1.2672068041195574,AFG,BEL
201606,1,-2,-11.4285714285715,AFG,BGD
201606,2,1,7.55813953488372,AFG,BGR
201606,1,3.4,-9.8398169336384,AFG,BHR
201606,2,-4.5,1.59235668789808,AFG,BHS
201606,1,7,-0.15503875968993,AFG,BLR
201606,48,-6.5375000000000005,-6.1428018802087827,AFG,CAN
201606,9,1.8666666666666667,-0.49784854524440991,AFG,CAS
201606,60,3.1166666666666676,0.82558726874393018,AFG,CHE
201606,83,2.2385542168674695,-0.24479247295272816,AFG,CHN
201606,1,0,2.1594684385382,AFG,COL
201606,3,-5.0666666666666664,-8.5697032436162761,AFG,CZE
201606,5,-3.04,-6.1558452746747818,AFG,DEU
201606,14,3.4857142857142853,-0.88704944347892145,AFG,DNK
201606,4,4.225,2.06547969219314,AFG,ESP
201606,8,0.44999999999999996,-3.884345725427075,AFG,EUR
201606,9,3.6666666666666665,0.1625266080391333,AFG,FRA
201606,55,1.9090909090909096,-2.5603020054176167,AFG,GBR
201606,6,-1.4333333333333333,-5.0589563641772486,AFG,GHA
201606,63,2.547619047619047,-1.5492369501106436,AFG,IND
201606,66,1.9409090909090905,-0.16190063474949187,AFG,IRN
201606,3,-0.033333333333333361,-2.90310870275609,AFG,IRQ
201606,2,1.75,-1.9423104634616351,AFG,ISR
201606,2,7,-1.11520457286098,AFG,ITA
201606,2,1,4.58715596330275,AFG,JPN
201606,15,3.0399999999999996,-1.0095759534319884,AFG,KAZ
201606,1,2.8,-0.78740157480315,AFG,KEN
201606,6,1.3,1.6381547637267868,AFG,KGZ
201606,1,-4,-6.0625814863103,AFG,LBY
201606,46,3.1782608695652179,1.4119204374557446,AFG,MEX
201606,1,-2,-2.04081632653061,AFG,NLD
201606,4,7,-3.2116173839839997,AFG,NOR
201606,40,-4.02,-8.7376115145569528,AFG,NPL
201606,825,0.52533333333333354,-3.3156008507433139,AFG,PAK
201606,6,1.3499999999999999,1.5277919200492951,AFG,POL
201606,64,2.965625,1.2147349169345685,AFG,QAT
201606,44,2.6318181818181818,-0.44812001961476722,AFG,RUS
201606,3,3.4,-9.7442327465316172,AFG,SAS
201606,82,0.4451219512195122,-4.5598852585077223,AFG,SAU
201606,2,3.4,1.98776758409786,AFG,SGP
201606,3,5.8,-1.61625523071307,AFG,SWE
201606,6,0.066666666666666582,-5.5995858384541242,AFG,SYR
201606,1,1,-3.27510917030568,AFG,THA
201606,13,4.8307692307692305,-1.6086358461262997,AFG,TJK
201606,41,2.84390243902439,-0.83867379473170933,AFG,TKM
201606,1,0.4,-6.25,AFG,TUN
201606,58,0.61034482758620678,-3.8823631218737416,AFG,TUR
201606,657,1.3470319634703196,-2.5539379747224609,AFG,USA
201606,69,2.7086956521739136,0.66900366230215935,AFG,UZB
201606,1,1,-4.41558441558441,AFG,VNM
201606,12,2.5333333333333332,-5.3330778469201015,AFG,WST
201606,2,-2,-0.15333503705596,AFR,AFG
201606,9,-0.93333333333333313,1.2453461612861088,AFR,AGO
201606,5,-0.8,-4.9679044802278485,AFR,AUS
201606,1,1,5.06329113924051,AFR,AZE
201606,8,-0.75,-2.1936914803096075,AFR,BDI
201606,5,1.48,-2.422621393912666,AFR,BEL
201606,1,1.9,-5.97826086956521,AFR,BEN
201606,1,1,0.43383947939262,AFR,BFA
201606,1,2.8,1.94805194805195,AFR,BMU
201606,1,7,-5.57377049180328,AFR,BOL
201606,5,3.56,4.3459041118507855,AFR,BWA
201606,83,-0.47831325301204808,-1.2146654640749623,AFR,CAN
201606,2,7.4,-2.91970802919708,AFR,CHE
201606,40,0.4575,-0.6009081504378061,AFR,CHN
201606,11,1.9636363636363634,-0.22884542531886504,AFR,CIV
201606,6,2.9000000000000004,3.171048347430915,AFR,CMR
201606,11,5.1636363636363631,1.1754639687047346,AFR,COD
201606,4,2.95,0.80321285140562,AFR,COG
201606,1,2.8,-2.10727969348659,AFR,CZE
201606,8,3.675,1.3340228189074723,AFR,DEU
201606,2,0,1.23893805309734,AFR,DZA
201606,17,0.77058823529411768,-2.9368567839490094,AFR,EGY
201606,1,-2,-9.2378752886836,AFR,ERI
201606,3,2.1999999999999997,0.72896840502474,AFR,ESP
201606,33,3.5030303030303029,-2.36693106298785,AFR,ETH
201606,10,1.8400000000000003,-2.9520701930523119,AFR,EUR
201606,20,2.5799999999999996,0.12232053855983491,AFR,FRA
201606,2,1.7,-2.37437563940543,AFR,GAB
201606,33,0.29696969696969711,-2.8696122839627787,AFR,GBR
201606,22,2.9,1.2579105926261696,AFR,GHA
201606,3,2.4666666666666668,4.7543967594729,AFR,GMB
201606,1,-4.4,-3.84615384615385,AFR,GNB
201606,1,0,-0.32679738562092,AFR,GNQ
201606,2,-0.050000000000000044,2.2723434309315103,AFR,GRC
201606,5,2.8,7.04292084726867,AFR,IDN
201606,62,2.9612903225806453,0.1789584694352177,AFR,IND
201606,8,3.8,-1.4938289606979624,AFR,IRN
201606,18,3.3277777777777771,-1.0452736037660775,AFR,ISR
201606,7,3.4285714285714284,-0.59486356875651458,AFR,ITA
201606,1,7,1.45530145530145,AFR,JOR
