YearMonth,NoOfEvents,GoldStein,ToneCount,Actor1CountryCode,Actor2CountryCode
201607,12,2.8000000000000003,1.5279338627776042,ABW,BRA
201607,17,3.552941176470588,1.7692264098942767,ABW,COL
201607,20,1.3849999999999998,-0.13475035680646483,ABW,USA
201607,15,4.0666666666666664,-0.49778905220047204,ABW,VEN
201607,38,-1.581578947368421,-4.3460442103792287,AFG,AFR
201607,13,-7.5846153846153843,-7.70564840591128,AFG,ALB
201607,57,-4.6052631578947372,-3.7213504608746639,AFG,ARE
201607,11,1.7909090909090912,-1.4818435262935834,AFG,ARM
201607,82,-1.0646341463414635,-2.8575045203501994,AFG,AUS
201607,19,-0.30000000000000016,-4.4172537977518314,AFG,AUT
201607,68,-0.14411764705882349,0.020780003205659266,AFG,AZE
201607,52,2.2134615384615381,-0.40507633096228751,AFG,BEL
201607,55,-0.56727272727272726,-4.7072089313655043,AFG,BGD
201607,11,-1.9454545454545453,-3.723277776423183,AFG,BGR
201607,129,-2.6682170542635659,-3.1022007964653548,AFG,CAN
201607,18,0.27222222222222214,-3.9013416062564752,AFG,CHE
201607,450,1.2937777777777784,-2.4109446026348129,AFG,CHN
201607,840,-5.0673809523809528,-7.2974210038297249,AFG,DEU
201607,23,1.6434782608695651,-1.5120959195592563,AFG,DNK
201607,21,1.6666666666666667,-2.8007051388478605,AFG,EGY
201607,20,-1.5450000000000004,-4.6584254192526657,AFG,ESP
201607,33,-6.9575757575757571,-1.5640592975170131,AFG,EST
201607,82,0.96951219512195119,-4.3782791196676341,AFG,EUR
201607,142,-2.6915492957746481,-5.4287954066408526,AFG,FRA
201607,219,0.95707762557077625,-2.5527399509078816,AFG,GBR
201607,21,1.4999999999999998,-5.4101486724762387,AFG,GHA
201607,57,-0.82982456140350913,-4.1364675939993392,AFG,GRC
201607,15,5.2266666666666648,2.0183130472647317,AFG,HRV
201607,21,2.1476190476190475,-5.0025030624403986,AFG,HUN
201607,181,1.1237569060773485,-1.7492339773518824,AFG,IND
201607,15,0.48000000000000015,-3.342453490193158,AFG,IRL
201607,475,0.94105263157894736,-2.4139352988431835,AFG,IRN
201607,526,0.086311787072243365,-2.4737228886166913,AFG,IRQ
201607,57,-0.19122807017543869,-2.2334507912567321,AFG,ISR
201607,25,1.6560000000000001,-2.187632577027113,AFG,ITA
201607,24,0.037500000000000124,-4.2685068401918658,AFG,JOR
201607,18,2.3166666666666669,-2.1647170641587672,AFG,KAZ
201607,12,-7.416666666666667,-0.49909964450157079,AFG,KEN
201607,32,0.76874999999999993,-0.95218147368783146,AFG,LBY
201607,13,-4.1076923076923082,-7.650686790412589,AFG,MDV
201607,16,0.91875,-0.86060945007514211,AFG,MEX
201607,18,-0.061111111111111088,-1.8235013506135678,AFG,MKD
201607,19,1.6947368421052633,-0.24278798704955137,AFG,MLI
201607,29,3.5620689655172417,-1.0234806844375863,AFG,NLD
201607,13,-0.18461538461538451,-1.4752653850643869,AFG,NOR
201607,72,-6.8388888888888886,-5.7297804370514509,AFG,NPL
201607,13,-0.43076923076923063,-0.41128065217129084,AFG,NZL
201607,3545,-0.44572637517630448,-3.6438781114792613,AFG,PAK
201607,13,-4.1538461538461542,-6.2572876203261512,AFG,PHL
201607,201,2.2358208955223882,-0.39906209759995992,AFG,POL
201607,44,1.2704545454545453,-2.3350071929010943,AFG,QAT
201607,289,0.010034602076124569,-2.6817805591890882,AFG,RUS
201607,79,-4.6354430379746843,-6.160379091907136,AFG,SAS
201607,236,0.40932203389830507,-3.244034516755812,AFG,SAU
201607,18,-6.2444444444444445,-6.8495075027587138,AFG,SDN
201607,12,0.88333333333333341,-3.8962658470555493,AFG,SOM
201607,39,-2.8461538461538467,-7.10123186436482,AFG,SRB
201607,356,-0.92443820224719109,-4.58629276704982,AFG,SYR
201607,22,2.3499999999999996,0.13593768832163727,AFG,TCD
201607,81,0.84814814814814854,-3.6805343775170249,AFG,TJK
201607,51,1.4450980392156862,-2.9638395294572875,AFG,TKM
201607,25,-2.028,-4.2253267792101576,AFG,TUN
201607,306,-0.70947712418300657,-3.316211550638509,AFG,TUR
201607,37,2.2810810810810813,-0.66692867208464035,AFG,UKR
201607,2965,-0.47740303541315332,-2.9686155021023315,AFG,USA
201607,83,2.8590361445783139,-1.4976162154183803,AFG,UZB
201607,12,-1.3083333333333333,-2.340722400958394,AFG,VNM
201607,434,1.5050691244239629,-1.3809028269166013,AFG,WST
201607,12,-1.291666666666667,-3.8875635165007676,AFG,YEM
201607,21,-3.0285714285714289,-4.6591915423570143,AFR,AFG
201607,132,2.9931818181818173,-0.66043233835808179,AFR,AGO
201607,50,2.386,1.8980484817279188,AFR,ARE
201607,18,-2.4888888888888889,0.51987725408053964,AFR,ARG
201607,253,0.64071146245059285,-0.24803427507111239,AFR,AUS
201607,188,0.57446808510638292,-4.1645679534941857,AFR,BDI
201607,62,0.65322580645161266,0.6416574658042733,AFR,BEL
201607,14,1.3928571428571428,0.60301885248760667,AFR,BEN
201607,45,2.528888888888889,-1.19027289275741,AFR,BFA
201607,34,-0.18235294117647058,-3.6549877514374494,AFR,BGD
201607,81,1.8259259259259257,-1.1698124469073412,AFR,BRA
201607,20,0.39999999999999991,0.27023154236676794,AFR,BRN
201607,142,3.1281690140845071,0.81575363350717567,AFR,BWA
201607,38,1.3763157894736842,-0.17065860566124663,AFR,CAF
201607,145,2.6551724137931036,0.3581741498109951,AFR,CAN
201607,42,3.5095238095238104,-1.1361686032330518,AFR,CHE
201607,21,3.4238095238095241,-0.99946165143299426,AFR,CHL
201607,832,2.9635817307692305,0.50070254728830288,AFR,CHN
201607,72,1.7513888888888887,0.14558109126939694,AFR,CIV
201607,61,0.58688524590163926,-1.0038888133934234,AFR,CMR
201607,143,-0.63566433566433556,-1.520347634429617,AFR,COD
201607,115,-0.18521739130434775,-1.8457537497346777,AFR,COG
201607,25,0.76,-0.65334541986111672,AFR,CUB
